sales,quantity,profit,label
261.96,2,419136.0,1
731.94,3,219582.0,1
14.62,2,68714.0,1
9575775.0,5,-383031.0,1
22368.0,2,25164.0,1
48.86,7,141694.0,1
7.28,4,19656.0,1
907152.0,6,907152.0,1
18504.0,3,57825.0,1
114.9,5,34.47,1
1706184.0,9,853092.0,1
911424.0,4,683568.0,1
15552.0,3,54432.0,1
407976.0,3,1325922.0,1
68.81,5,-123858.0,1
2544.0,3,-3816.0,1
665.88,6,133176.0,1
55.5,2,9.99,1
8.56,2,24824.0,1
213.48,3,16011.0,1
22.72,4,7384.0,1
19.46,7,50596.0,1
60.34,7,156884.0,1
71372.0,2,-10196.0,1
1044.63,3,2402649.0,1
11648.0,2,42224.0,1
90.57,3,117741.0,1
3083.43,7,-16650522.0,2
9618.0,2,-70532.0,1
124.2,3,15525.0,1
3264.0,2,11016.0,1
86304.0,6,97092.0,1
6858.0,6,-5715.0,1
15.76,2,3546.0,1
29472.0,3,99468.0,1
1097544.0,7,1234737.0,1
190.92,5,-147963.0,1
113328.0,9,35415.0,1
5323992.0,3,-469764.0,1
212058.0,3,-15147.0,1
371168.0,4,417564.0,1
147168.0,4,165564.0,1
77.88,2,3894.0,1
95616.0,2,95616.0,1
45.98,2,197714.0,1
17.46,2,82062.0,1
211.96,4,84784.0,1
45.0,3,4.95,1
21.8,2,6104.0,1
38.22,6,179634.0,1
75.18,6,353346.0,1
6.16,2,29568.0,1
89.99,1,170981.0,1
15.26,7,62566.0,1
1029.95,5,2986855.0,1
208.56,6,52.14,1
32.4,5,15552.0,1
319.41,5,7098.0,1
14.56,2,69888.0,1
30.0,2,3.3,1
48.48,4,16362.0,1
1.68,1,0.84,1
13.98,2,61512.0,1
25824.0,6,93612.0,1
146.73,3,689631.0,1
79.76,4,223328.0,1
213115.0,5,-152225.0,1
1113024.0,8,1113024.0,1
167968.0,4,62988.0,1
75.88,2,356636.0,1
4616.0,1,1731.0,1
19.05,3,8763.0,1
831936.0,8,-1143912.0,1
97.04,2,1213.0,1
72784.0,1,-18196.0,1
1248.0,3,-19344.0,1
9708.0,3,-58248.0,1
27.24,3,2724.0,1
19.3,5,-14475.0,1
208.16,1,562032.0,1
16.74,3,80352.0,1
14.9,5,4172.0,1
21.39,1,62031.0,1
200984.0,7,628075.0,1
230376.0,3,-489549.0,1
301.96,2,332156.0,1
19.99,1,67966.0,1
6.16,2,29568.0,1
158368.0,7,138572.0,1
20.1,3,6633.0,1
73584.0,2,82782.0,1
6.48,1,31104.0,1
12.96,2,62208.0,1
53.34,3,165354.0,1
32.96,2,161504.0,1
5682.0,1,-3788.0,1
96.53,7,405426.0,1
51312.0,3,179592.0,1
77.88,6,225852.0,1
64624.0,7,226184.0,1
95976.0,3,-107973.0,1
1788.0,3,-30396.0,1
23.92,4,117208.0,1
238896.0,6,-268758.0,1
102.36,3,-38385.0,1
36882.0,3,-258174.0,1
74112.0,8,176016.0,1
27992.0,1,20994.0,1
3304.0,1,10738.0,1
339.96,5,67992.0,1
41.96,2,109096.0,1
